Prompt_Variant,Input,Output
Prompt_1,The product stopped working after 3 days and no one is responding to my emails.,Simulated response for: Summarize the key issue in the following customer complaint....
Prompt_1,I was charged twice for the same item and need a refund ASAP.,Simulated response for: Summarize the key issue in the following customer complaint....
Prompt_1,The delivery was late and the item was damaged.,Simulated response for: Summarize the key issue in the following customer complaint....
Prompt_1,Support promised a callback that never happened.,Simulated response for: Summarize the key issue in the following customer complaint....
Prompt_1,The website keeps crashing when I try to check out.,Simulated response for: Summarize the key issue in the following customer complaint....
Prompt_2,The product stopped working after 3 days and no one is responding to my emails.,Simulated response for: You are a customer service analyst. Summarize this complaint...
Prompt_2,I was charged twice for the same item and need a refund ASAP.,Simulated response for: You are a customer service analyst. Summarize this complaint...
Prompt_2,The delivery was late and the item was damaged.,Simulated response for: You are a customer service analyst. Summarize this complaint...
Prompt_2,Support promised a callback that never happened.,Simulated response for: You are a customer service analyst. Summarize this complaint...
Prompt_2,The website keeps crashing when I try to check out.,Simulated response for: You are a customer service analyst. Summarize this complaint...
Prompt_3,The product stopped working after 3 days and no one is responding to my emails.,"Simulated response for: Extract the issue and suggested action in this format:
Issue..."
Prompt_3,I was charged twice for the same item and need a refund ASAP.,"Simulated response for: Extract the issue and suggested action in this format:
Issue..."
Prompt_3,The delivery was late and the item was damaged.,"Simulated response for: Extract the issue and suggested action in this format:
Issue..."
Prompt_3,Support promised a callback that never happened.,"Simulated response for: Extract the issue and suggested action in this format:
Issue..."
Prompt_3,The website keeps crashing when I try to check out.,"Simulated response for: Extract the issue and suggested action in this format:
Issue..."
Prompt_4,The product stopped working after 3 days and no one is responding to my emails.,Simulated response for: Hi! Help summarize this customer concern so the support team...
Prompt_4,I was charged twice for the same item and need a refund ASAP.,Simulated response for: Hi! Help summarize this customer concern so the support team...
Prompt_4,The delivery was late and the item was damaged.,Simulated response for: Hi! Help summarize this customer concern so the support team...
Prompt_4,Support promised a callback that never happened.,Simulated response for: Hi! Help summarize this customer concern so the support team...
Prompt_4,The website keeps crashing when I try to check out.,Simulated response for: Hi! Help summarize this customer concern so the support team...
Prompt_5,The product stopped working after 3 days and no one is responding to my emails.,Simulated response for: Please urgently identify the primary issue in the customer c...
Prompt_5,I was charged twice for the same item and need a refund ASAP.,Simulated response for: Please urgently identify the primary issue in the customer c...
Prompt_5,The delivery was late and the item was damaged.,Simulated response for: Please urgently identify the primary issue in the customer c...
Prompt_5,Support promised a callback that never happened.,Simulated response for: Please urgently identify the primary issue in the customer c...
Prompt_5,The website keeps crashing when I try to check out.,Simulated response for: Please urgently identify the primary issue in the customer c...
